company,details,slide_type,description,use_case,industry,tags,image_link,image_id
Morgan Stanley ,"Morgan Stanley US Financials, Payments, & CRE Conference",Multiple Chart,"Slide includes column chart for portfolio loans, pie charts for mortgage and construction balance by type. Clear and color-coded for easy comprehension.",Market Analysis and Trends,Real Estate & Construction,"['Pie Chart', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f69787caf7888b660e5d_e1yxxrmmDnxOf6CdCXYk7XC7TMU520V8PlKUOTBeqGM.avif,slide-3114.jpg
Morgan Stanley ,"Morgan Stanley US Financials, Payments, & CRE Conference",Multiple Chart,"Column and bar charts with key statistical data, color-coded to distinguish different metrics and types of consumer loans. Simplistic design for easy interpretation.",Market Analysis and Trends,Financial Services,"['Column Chart', 'Bar chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f69e0920f1af217032a0_JWEMir5sATKn9SQ0mMU5iRerG0Fd1UBonjfV_1HjVC0.avif,slide-3115.jpg
Morgan Stanley ,"Morgan Stanley US Financials, Payments, & CRE Conference",Multiple Chart,"Uses column chart to depict portfolio loans over time, with a color differentiation between average and period-end. Also, includes a bar chart for FICO score distribution.",Market Analysis and Trends,Real Estate & Construction,"['Column Chart', 'Bar chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f6a6cd1aace3d48936c3_Lq9h5nbVFo8EO6LdGai5RROjzCdUzlN4sNbgoJlFFfE.avif,slide-3116.jpg
Morgan Stanley ,"Morgan Stanley US Financials, Payments, & CRE Conference",Multiple Chart,"Column charts and key statistics displayed clearly, with additional small bar chart showing the FICO score distribution.",Financial Performance,Financial Services,"['Column Chart', 'Bar chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f6aeab6951a296b24342_FAJBxJPR9zZSCSdGYxo3Cbm-kY9juCu45yXlWXlIEms.avif,slide-3117.jpg
Morgan Stanley ,"Morgan Stanley US Financials, Payments, & CRE Conference",Multiple Chart,"Features column charts for portfolio loans, with clear visual indicators for changes over time. Bar chart for FICO score distribution included.",Risk Assessment and Management,Financial Services,"['Pie Chart', 'Column Chart', 'Bar chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f6b6f774567d9bbc6093_nykHhODCSDbAhk21zhqhdawVDwaWdWC-bEsbwswKms8.avif,slide-3118.jpg
Morgan Stanley ,"Morgan Stanley US Financials, Payments, & CRE Conference",Multiple Chart,"Column charts representing portfolio loans with quarterly changes, alongside a bar chart for FICO score distribution at origination. Clear and easy to understand layout.",Client Case Studies,Financial Services,"['Column Chart', 'Bar chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f6bdf774567d9bbc6903_aLPcpvx3e5tEiROkVKZjHoejo6FOAWtVd7mdKkS8iuA.avif,slide-3119.jpg
Morgan Stanley ,Morgan Stanley Conference Investor presentation,Multiple Chart,"Column and pie charts with a timeline of portfolio value, clearly demarcated sections for acquisitions, divestments, and asset class distribution.",Strategic Planning,Real Estate & Construction,"['Bullet points', 'Pie Chart', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f6c5be6b852d3a9861d3_eHdWy3doDR1gbj4IsDuk6q6zBnSTtWyuVdWEf6fp8dE.avif,slide-3120.jpg
Morgan Stanley ,Morgan Stanley Conference Investor presentation,Single Chart,"The slide presents two side-by-side column charts, showing current and potential future portfolio distributions. Categories such as 'Grade A Office' and 'Logistics' are color-coded. There are descriptive boxes with percentages, arrows indicating the transition from the current to the future state, and a disclaimer at the bottom left corner.",Investment Analysis,Real Estate & Construction,['Column Chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f6cc3f2d94c4fd5b9840_O0B4Qs9m_c5IM6m9_sOGzjYb8fFp1E-saSxNJr29YJE.avif,slide-3121.jpg
Morgan Stanley ,Morgan Stanley Conference Investor presentation,Image,"This slide features four images, each representing a different development project, with corresponding cost estimates and timelines from 2022 to 2035. The images have an 'artist impression' label, indicating they are conceptual representations. There is also a footnote about the manager's monitoring of development under contract compliance with regulations.",Strategic Planning,Real Estate & Construction,"['Picture', 'Timeline', 'Chevron']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f6d46a710ae66762ae2f_7qZil1mGC8MsGQJkOQvjVgD2NmiRZbPQv3-KG0xxW1I.avif,slide-3122.jpg
Morgan Stanley ,Morgan Stanley Conference Investor presentation,Table,"This slide combines text and a map image. On the left, there are four bullet points highlighting the sponsor's qualifications, including alignment with unitholders and on-ground European teams. On the right, there's a map of Europe indicating the sponsor's office locations with simple icons.",Strategic Planning,Real Estate & Construction,"['Icon', 'Table', 'Map']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f6dc96d45b58f7604f32_oDYkj01-tIaKo0pC7fgBquo6LYKBxSRTh-bhYbXGK5k.avif,slide-3123.jpg
Morgan Stanley ,Morgan Stanley Conference Investor presentation,Mixed Chart,"The slide has a table on the left and a pie chart on the right. The table lists the top 10 tenant-customers with associated percentages of total headline rent. The pie chart shows the distribution of industries contributing to the total leases. Both charts are color-coded for clarity. There's also a summary statement at the top, highlighting the income security backed by government and MNC tenants.",Financial Performance,Real Estate & Construction,"['Bullet points', 'Pie Chart', 'List']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f6e36324dfeee42a5521_JmmtHkY4irAzf2MQ5papTRhRkVfy8aoNg0-ciG5nPX0.avif,slide-3124.jpg
Morgan Stanley ,Morgan Stanley Conference Investor presentation,Single Chart,"Comprising a stacked column chart, this slide visually represents like-for-like DPU history with layers indicating operating DPU, fees in units, and capital top-up. Each column represents a year from 2018 to 2022, with a color-coding scheme and annotations for additional details. There's a legend explaining the components of the bars and a footnote defining like-for-like DPU.",Financial Performance,Financial Services,"['Column Chart', 'Takeaway Box']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f6eb83dc798e0a264a6b_7_38hn9S-zzGAmLHCNurWykMGjkw2swUiYbHIs_pwkM.avif,slide-3125.jpg
Morgan Stanley ,Morgan Stanley Conference Investor presentation,Multiple Chart,"Features a comparative layout with two graphical representations of asset valuations at different times. The first part shows asset values as of December 2021, and the second part shows them for December 2022. Below, a line graph comparing net initial yield by asset class over several years is shown, correlating with German 5Y Bonds for reference. There is an explanatory note and references to valuation reports.",Financial Performance,Real Estate & Construction,"['Column Chart', 'Line Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f6f3c8e08d0a5b684af9_bWSg2TTxG2cV0eR7ecI4Ku0oRC_rK4ubUsuGMmQ1aLs.avif,slide-3126.jpg
Morgan Stanley ,Morgan Stanley Conference Investor presentation,Single Chart,"This slide displays a column chart and a line graph. The column chart shows half-yearly rent reversion percentages, and the line graph tracks portfolio occupancy rates over time. The colors in the bar graph correlate with the periods shown on the x-axis. The line graph is superimposed to demonstrate the relationship between occupancy and rent reversion. There's also a note clarifying the occupancy calculation.",Financial Performance,Real Estate & Construction,['Column Chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f6fd06635ce1cc6943c0_fYZXNefBYK4U_kNzNnfMzg9IsxL6M5yz6oL8jyF35PU.avif,slide-3127.jpg
Morgan Stanley ,Morgan Stanley Conference Investor presentation,Multiple Chart,"Three sets of column charts compare the percentage of lease breaks and expiries by Weighted Average Lease Expiry (WALE) and Weighted Average Lease Break (WALB) across different years. The charts are color-coded by segment, comparing the overall portfolio with light industrial/logistics and office segments. Annotations provide additional insights into the risk management process.",Risk Assessment and Management,Real Estate & Construction,"['Column Chart', 'Callouts']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f70438fa1f879d2fa8f8_ycWG2dpYr3ymiHbM4A3l-jht53I7dXgauAcfkC7D9Fo.avif,slide-3128.jpg
Morgan Stanley ,Morgan Stanley Conference Investor presentation,Multiple Chart,"The slide features two visual elements. The first is a multi-line graph showing occupancy by country over several years, with different lines representing different countries. The second is a horizontal bar chart showing portfolio weighting by country. The line graph and bar chart are color-coded to differentiate the countries and show occupancy trends over time, with annotations for specific data points.",Market Analysis and Trends,Real Estate & Construction,"['Bar chart', 'Line Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f70dc174f17713e1169c_CMm7Hfi8gCXOviVPdFxiGBY9MuvRBc4A1B-ZTx_Qf0A.avif,slide-3129.jpg
Morgan Stanley ,Morgan Stanley Conference Investor presentation,Single Chart,"The slide is structured with a column chart and a line graph, where the column chart represents the portfolio occupancy percentages and the line graph tracks rent reversion percentage. The color scheme used is uniform for the columns, with a clear legend and time period indicators. It also includes an explanatory footnote about the data comparison.",Market Analysis and Trends,Real Estate & Construction,['Column Chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f715a1cc93e7efdda985_tf6mQUpMF-st-u1-gdfU4pChttXOzG7hF5nb5KYvURM.avif,slide-3130.jpg
Morgan Stanley ,Morgan Stanley Conference Investor presentation,Multiple Chart,"The slide features multiple column and line charts. The column charts represent quarterly data, with blue bars indicating take-up and yellow lines showing vacancy rates. There are smaller column charts to the right showing e-commerce growth and vacancy rates by country. The color scheme is blue, yellow, and grey.",Market Analysis and Trends,Transportation & Logistics,['Column Chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f71cc976d1f6b67cb014_l-_z9OOwIJ0uYjqhTYp8aBiHuZqiDUwYo2N0R3Yd958.avif,slide-3131.jpg
Morgan Stanley ,Morgan Stanley Conference Investor presentation,Single Chart,"This slide displays column chart and line graph with a blue and green color scheme. The column chart shows the rent reversion percentage over time, with a prominent label of a recent increase. A line graph depicts occupancy trends, correlating with the bar graph data.",Financial Performance,Real Estate & Construction,['Column Chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f724e99177e00232cb30_9oJncLRbzCdDUPL-JUkwtz8OiZkgU1c6ylOhVRzVEpE.avif,slide-3132.jpg
Morgan Stanley ,Morgan Stanley Conference Investor presentation,Multiple Chart,"The slide has column and line charts, and smaller column charts. The primary chart shows quarterly take-up and vacancy rates, with blue bars and a yellow line. On the right, two column charts display Grade A office vacancy in key markets and vacancy in weaker markets, distinguished by color gradations of blue and grey.",Operational Efficiency,Real Estate & Construction,['Column Chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f72da75b8aab84d80d38_RwYfDmbi0X8FRDLENoP3Osrlmac_qIddGx3T_vKeLXg.avif,slide-3133.jpg
Morgan Stanley ,Morgan Stanley Conference Investor presentation,Table,"The slide contains a set of comparison blocks split into three categories: Environment, Social/Stakeholders, and Corporate Governance. Each block has key figures and percentages, highlighted with distinct colors like green, blue, and yellow. Icons and minimal text accompany the data for a clean visual appeal.",Regulatory and Compliance,Environmental Services & Sustainability,"['Icon', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f735706e305e67c007ae_dEW7FLF8oXo2hPYYWKj0iofxwnKF6E4nkiW-O7gOjSk.avif,slide-3134.jpg
Morgan Stanley ,Morgan Stanley Conference Investor presentation,Single Chart,"The slide features a dual-axis graph displaying the growth of BREEAM and LEED certifications over time, using green bars and a blue line. To the right is a patterned yellow bar representing future targets. The background is white, and the data is accentuated with a blue and green color palette for clarity.",Regulatory and Compliance,Real Estate & Construction,['Column Chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f73cbea8de3e76c7bda0_dpJspoWrhkCSPGyzsauwe5kaBpqNPW_Y5liooPUG2e8.avif,slide-3135.jpg
Morgan Stanley ,Morgan Stanley Conference Investor presentation,Single Chart,"This slide includes a line graph illustrating the percentage of fixed debt over time, alongside a stacked column chart detailing debt maturity and composition for upcoming years. The chart uses shades of blue, yellow, and green, with a red line graph.",Corporate Finance and Valuation,Financial Services,['Column Chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f7444d078b158758e6a2_xBHOa-VZZVRoEAq4EEDh-N-M8WQRzLiGSZMoxczDDoI.avif,slide-3136.jpg
Morgan Stanley ,Morgan Stanley Conference Investor presentation,Mixed Chart,"The slide displays a line graph charting the trend in Eurozone interest rates, with a predictive dotted line extending into the future. There are also infographic elements, such as icons, describing the factors impacting monetary policy. The design is professional with a blue and grey color scheme.",Risk Assessment and Management,Financial Services,"['Icon', 'Line Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f74bad0d80ccf00600fd_euvcOh_RJOrQFq_QK41tptRw3_qGzZL51yaL0vZ_yAM.avif,slide-3137.jpg
Morgan Stanley ,Morgan Stanley Conference Investor presentation,Header Horizontal,"The slide is divided into three blocks, each with a headline and bullet points. The colors used are blue, white, and a touch of green. There are no graphs or charts, but the slide is content-dense with strategic statements and initiatives highlighted.",Strategic Planning,Professional Services,['Table'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f753a065eeb2524dd039_hYfrWFR-zwgqG9rnySNyuQgnOP9R46jWUEQGkXTmkSY.avif,slide-3138.jpg
